"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.503906040E1,2.555228460E1,2.382120146E1,NaN,NaN,1.149800014E1,1.000000000E0
3.805693070E-1,6.503906040E1,2.555228460E1,2.382120146E1,NaN,NaN,9.423100281E1,1.754660034E1
3.963218460E-1,6.503906040E1,2.555228460E1,2.382120146E1,NaN,NaN,9.434300232E1,1.756900024E1
1.923094145E1,6.503898833E1,2.555189333E1,8.321261972E0,8.075991869E-1,2.194100037E2,5.000000000E0,3.640000153E1
2.023094145E1,6.503901000E1,2.555196833E1,7.121248059E0,9.182644486E-1,2.169299927E2,2.599999905E0,1.679999924E1
2.123094145E1,6.503900333E1,2.555195000E1,9.121251889E0,9.779722095E-1,2.197700043E2,2.200000048E0,1.539999962E1
2.306794145E1,6.503898667E1,2.555193333E1,1.182125869E1,8.812044263E-1,2.221100006E2,1.899999976E0,1.480000019E1
2.406794145E1,6.503897667E1,2.555193667E1,1.402126150E1,1.007826090E0,2.149100037E2,1.799999952E0,1.460000038E1
2.506794145E1,6.503896500E1,2.555192000E1,1.542126674E1,1.321806669E0,2.101100006E2,1.700000048E0,1.430000019E1
2.606794145E1,6.503895500E1,2.555189667E1,1.602127208E1,1.429383636E0,2.164199982E2,1.600000024E0,1.450000000E1
2.706794145E1,6.503894667E1,2.555187167E1,1.642127707E1,1.361440301E0,2.176600037E2,1.600000024E0,1.380000019E1
2.806794145E1,6.503894000E1,2.555184833E1,1.672128138E1,1.372249484E0,2.163300018E2,1.600000024E0,1.389999962E1
2.906794145E1,6.503893333E1,2.555183500E1,1.732128473E1,1.451516628E0,2.007299957E2,1.600000024E0,1.350000000E1
3.006794145E1,6.503892500E1,2.555182833E1,1.742128797E1,1.267246127E0,1.956399994E2,1.500000000E0,1.360000038E1
3.106794145E1,6.503892000E1,2.555182833E1,1.712128954E1,1.242539406E0,1.907799988E2,1.500000000E0,1.319999981E1
3.206794145E1,6.503890833E1,2.555183333E1,1.702129271E1,1.247686625E0,1.729100037E2,1.500000000E0,1.339999962E1
3.306794145E1,6.503889667E1,2.555183667E1,1.662129605E1,1.400044441E0,1.812799988E2,1.600000024E0,1.360000038E1
3.406794145E1,6.503888500E1,2.555184167E1,1.642129922E1,1.116432548E0,1.596900024E2,1.600000024E0,1.360000038E1
3.506794145E1,6.503887833E1,2.555185667E1,1.622129988E1,1.430413008E0,1.429299927E2,1.500000000E0,1.319999981E1
3.606794145E1,6.503886667E1,2.555187000E1,1.612130226E1,1.428868890E0,1.506000061E2,1.500000000E0,1.330000019E1
3.706794145E1,6.503885333E1,2.555188000E1,1.572130548E1,1.319233060E0,1.534900055E2,1.600000024E0,1.360000038E1
